18.20 - Matrícula inicial de la educación superior por ramas de la ciencia. (Mujeres) ,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,    Unidad
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
RAMAS DE LA CIENCIA, 2007/08, 2008/09, 2009/10, 2010/11, 2011/12, 2012/13, 2013/14, 2014/15, 2015/16, 2016/17, 2017/18, 2018/19, 2019/20, 2020/21, 2021/22
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Total,"468,458","449,648","372,171","286,744","214,121","161,103","122,597","100,664","98,816","134,671","137,687","150,701","164,608","187,036","187,807"
   Ciencias técnicas,"15,906","17,467","15,807","14,651","13,634","14,851","12,230","11,529","11,161","11,315","11,078", 11 184, 11 304, 12 183, 11 974
   Ciencias naturales y matemáticas,"1,802","1,956","2,181","2,189","2,274","2,396","2,380","2,439","2,457","2,531","2,494", 2 521, 2 678, 2 584, 2 811
   Ciencias agropecuarias,"4,976","5,470","4,576","3,504","3,173","2,842","2,737","2,406","2,442","4,272","4,496", 5 208, 5 600, 7 384, 7 562
   Ciencias económicas,"57,189","54,529","39,386","32,709","25,855","18,223","12,356","9,043","8,123","12,164","12,434", 13 256, 14 130, 16 519, 17 353
   Ciencias sociales y humanísticas,"135,612","129,737","97,206","77,236","53,760","35,945","24,025","15,811","12,810","15,450","15,117", 16 463, 17 704, 20 367, 22 482
   Ciencias Pedagógicas,"86,386","78,956","63,793","43,337","29,302","21,054","14,737","12,903","14,488","35,627","34,463", 37 277, 43 578, 53 463, 53 786
   Ciencias médicas,"141,480","140,221","132,017","100,375","78,991","61,757","50,237","43,791","44,756","48,854","52,387", 58 871, 62 840, 66 891, 64 077
   Ciencias de la Cultura física y el Deporte,"24,295","20,053","16,643","11,997","6,377","3,226","3,047","1,932","1,731","3,616","4,430", 5 133, 5 979, 6 974, 6 933
   Ciencias del Arte,750,792,562,746,755,809,848,810,848,842,788,  788,  795,  671,  829
  Facultad Preparatoria,62,467,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
